<user> yeah ! <happy> playing well	0
at least i do not have a guy trying to discourage me anymore in what i want to do he will never become anything worth contributing to society	0
<allcaps> uplift </allcaps> : if you are still discouraged it means you are listening to the wrong voices & looking to the wrong source . look to the <allcaps> lord </allcaps> !	0
. <repeated> at your age , the heyday in the blood is tame . <repeated> ' <user> <hashtag> shakespearean insults </hashtag> <hashtag> hamlet </hashtag> <hashtag> elizabethan </hashtag> <hashtag> william shakespeare </hashtag>	0
i was so embarrassed when she saw us i was like knvfkkjg she thinks we are stalkers n then she starts waving all cheerfully inviting us in :weary_face:	-2
really planned on making videos this week . then . a tv died , phone broke , truck died , <hashtag> depression </hashtag> took over . i am wondering what i did <number> karma	-3
i hate having ideas but being too afraid to share them :pensive_face:	-3
at the regular cheerfulness of any emotion , her own supper , and to give the ladies were soon as they have been entirely at	1
a pessimist sees the difficulty in every opportunity , an optimist sees the opportunity in every difficulty ' - sir winston churchill -	1
just because i am hurting \ ndoesn ' t mean i am hurt \ ndoesn ' t mean i did not get \ nwhat i deserved \ nno better and no worse <hashtag> lost </hashtag> <user>	-2
<user> <user> i cancelled by <allcaps> cbs </allcaps> all access live feeds before jc even said vic won <allcaps> afp </allcaps> . paul . should have won <allcaps> imo </allcaps> <hashtag> bitter </hashtag>	-2
for what a beautiful day .	1
we have been a better second half team this season . so there ' s that .	0
back to forest drama - \ nfrom my <hashtag> forest </hashtag> <hashtag> music </hashtag> - series , <number> \ n <hashtag> nature </hashtag> <hashtag> dark </hashtag> <hashtag> art </hashtag> <hashtag> photography </hashtag> <hashtag> finland </hashtag>	0
<user> much <hashtag> sadness </hashtag> and <hashtag> heartbreak </hashtag>	-3
i have learned over the years that when one ' s mind is made up , this diminishes fear . – rosa parks <hashtag> quotes </hashtag> <hashtag> motivation </hashtag>	0
walk right through them ! see way past them , and do not even hesitate running them over .	0
<user> it looks cool and animated well for pixel art !	2
over <percent> of social sharing is dark & over <percent> of web traffic comes from <hashtag> dark social </hashtag> . <user> <hashtag> lift social </hashtag>	1
communitysleepcoach : look at these <hashtag> narcoleptic </hashtag> <hashtag> puppies </hashtag> . make you <hashtag> smile </hashtag> . if you are human & find yourself in such odd positions , seek <hashtag> th </hashtag> …	2
now that i have my future planned out , i feel so much happier <hashtag> goals </hashtag> <hashtag> life </hashtag> <hashtag> i got this </hashtag> <hashtag> yay </hashtag>	3
<hashtag> hate </hashtag> going to the doctor on so many levels but least i can go sleep with a <hashtag> smile </hashtag> just watched <hashtag> dwight </hashtag> on live nation	1
